ResturantId,ResturantName,ResturantZone,ResturanantAddress,ResturantTiming
11137,Snow Cream,HSR,"Shop 32, Nbk Building, 24th Main Road, Parangipalya Sector 2, HSR, Bangalore",11am – 11pm (Mon-Sun)
11138,Ooo Lala Biriyani Paradise,Banashankari,"Jantha Bazaar Bus Stop, 3rd Stage, Banashankari, Bangalore",11:30am – 2am (Mon-Sun)
11139,ROS Omelette Wraps Combos,Electronic City,"22, RR Layout, Neeladri Road, Chikkathogur, Doddanagamangala Junction, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11140,Maddening Delight,Electronic City,Delivery Only,11am – 11pm (Mon-Sun)
11141,Foodies Place,Electronic City,"Bus stop, Flat 1, 63/3, Ground Floor, Hosa Road, Near HDFC Bank, Singasandra, Electronic City, Bangalore",24 Hours (Mon-Sun)
11142,Moksha,Kanakapura Road,"67, Vaishnavi Residency, Near Yelchanahalli Metro Station, Kanakapura Road, Bangalore",12noon – 11pm (Mon-Sun)
11143,Veg Combo Darbar,Electronic City,"22, RR Layout, Neeladri Road, Chikkathogur, Doddanagamangala Junction, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11144,Desi Irani Chai,BTM,"Shop 3, Plot 5, 28 Main, Maruti Nagar, BTM, Bangalore",6am – 11pm (Mon-Sun)
11145,The Biriyani,BTM,"80, 36th Main, Dollars Scheme, Madiwala, BTM, Bangalore",10am – 4pm (Mon-Sun)
11146,Chai Adda,Electronic City,"Plot 75, 3rd Cross, 1st Main Road, KIADD Layout, Near Tech Mahindra Electronic City, Bangalore","8pm – 12midnight (Mon-Thu),10pm – 4am (Fri),8am..."
11147,Khana Maa Kai Hath Ka,Electronic City,Delivery Only,11:30am – 11pm (Mon-Sun)
11148,Mithaivatika,BTM,"9, 2nd Stage, 1st Phase, Near Relince Store, BTM, Bangalore",10am – 10pm (Mon-Sun)
11149,Kapi Kadai,Bommanahalli,"Shop 1322, Block A, N Supermarket, AECS Layout, Singasandra, Bommanahalli, Bangalore",8am – 11pm (Mon-Sun)
11150,Aloo Ka Funda,JP Nagar,"402, 9th Cross Road, Jeewan Sathi Colony, 1st Phase, JP Nagar, Bangalore",10am – 10pm (Mon-Sun)
11151,Flavours,HSR,"116/A, 18 B Main Road, 23rd Cross, Sector 3, HSR, Bangalore",9am – 11pm (Mon-Sun)
11152,Gowdru Nati Mane,Uttarahalli,"27, 5th Cross, Supramanyapura Main Road, Uttarahalli, Bangalore",10am – 10pm (Mon-Sun)
11153,Panchrochak,Bellandur,"158, Sri Varu Tower, Near HDFC Bank, Green Glen Layout, Bellandur, Bangalore",9am – 9:30pm (Mon-Sun)
11154,Basaveshwara Khanavali Veg Hotel,Electronic City,"Rama Reddy Building, Shantipura, Phase 2, Electronic City, Bangalore","11:30am – 3:30pm, 7pm – 10:30pm (Mon-Sun)"
11155,Pandit Ji - The Restaurant,Electronic City,"Ground Floor, Sri Heights, Hosa Road, Akshaya Layout, Electronic City, Bangalore",6:30am – 11pm (Mon-Sun)
11156,Sris Kitchen,Kanakapura Road,"26, 2nd Floor, Om Sri Nilaya, 9th Cross, Chunchaghatta Village, Konanakunte Post, Kanakapura Road, Bangalore","8am – 10am, 12noon – 3pm, 7pm – 10pm (Mon-Sun)"
11157,Halli Ruchi,Electronic City,"253, 2nd Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore",4pm – 8pm (Mon-Sun)
11158,Heaven's Biryani Multi Cuisine Restaurant,BTM,"16/A, Ground Floor, 100 Feet, Ring Road, 1st Stage, BTM, Bangalore",11:30am – 11:30pm (Mon-Sun)
11159,Chaska Chicken,JP Nagar,"107 & 108, 1st Floor, K R Layout, 6th Phase, Puttenahalli Main Road, JP Nagar, Bangalore","11:30am – 4pm, 6pm – 10:30pm (Mon-Sun)"
11160,Dumbiriyani,Kumaraswamy Layout,"31/1, Gowdanapalya, Uttarahalli Main Road, Hobli, Near Srinivasa Theatre, Kumaraswamy Layout, Bangalore",10am – 12midnight (Mon-Sun)
11161,Mithra Kabab Corner,Jayanagar,"102/10, Lingappa Circle, Rudrappa Garden, Kasturiba Nagar, Jayanagar, Bangalore",12noon – 11pm (Mon-Sun)
11162,Krishna Chaitanya Chats,Bannerghatta Road,"27, Mahaganapathy Nagar, Doddakammanahalli Main Road, Gottigere, Bannerghatta Road, Bangalore",9am – 9pm (Mon-Sun)
11163,Brasserie Inn,Bommanahalli,"13/A, Maruti Timber Road, Garve Bhabi Pallaya, Bommanahalli, Bangalore",7am – 12midnight (Mon-Sun)
11164,Swad Punjabi Dhabha,Electronic City,"369, Mahalakshmi Enclave, Ground Floor, 2nd Main Road, 8th Cross, Neeladri Nagar, Electronic City, Bangalore",11am – 11pm (Mon-Sun)
11165,Ice Scoop,Jayanagar,"851/1, Kothnur Dinne Main Road, JP Nagar, 7th Phase, Jayanagar, Bangalore",11am – 11pm (Mon-Sun)
11166,The Dining Table,Electronic City,"2224 & 2225, Sahar Pavillion Hotel, AECS Layout, Singasandra, Electronic City, Bangalore",12noon – 11pm (Mon-Sun)
